Serial,Accident ID,Lat,Long,Day of week,Date in month,Month,Year,Date,Time,Time(12h),Relative Wealth Index
78,1.7E+14,23.83143927,90.41476634,1,18,9,17,2017-09,5:30,5:30 AM,1.006
79,1.7E+14,23.79635223,90.34915274,7,17,9,17,2017-09,21:00,9:00 PM,1.755
80,1.7E+14,23.79856864,90.35312881,3,27,12,17,2017-12,6:50,6:50 AM,1.278
81,1.7E+14,23.77907957,90.3572903,3,6,12,17,2017-12,15:30,3:30 PM,1.305
82,1.7E+14,23.89259676,90.38426093,4,19,1,17,2017-01,19:30,7:30 PM,1.171
83,1.7E+14,23.89477464,90.37627977,6,11,3,17,2017-03,11:30,11:30 AM,1.171
84,1.7E+14,23.89260492,90.384284,4,30,3,17,2017-03,11:35,11:35 AM,1.171
85,1.7E+14,23.89485917,90.37639249,3,19,7,17,2017-07,8:00,8:00 AM,1.171
86,1.7E+14,23.89128315,90.38858453,3,13,12,17,2017-12,10:40,10:40 AM,1.171
87,1.7E+14,23.87371197,90.40042411,6,14,1,17,2017-01,11:25,11:25 AM,1.182
88,1.7E+14,23.85526686,90.40443373,3,8,2,17,2017-02,3:30,3:30 AM,1.051
89,1.7E+14,23.85526686,90.40443373,6,25,2,17,2017-02,0:30,12:30 AM,1.051
90,1.7E+14,23.88044738,90.40115125,6,25,3,17,2017-03,3:05,3:05 AM,1.182
91,1.7E+14,23.79401254,90.40438553,2,1,8,17,2017-08,19:30,7:30 PM,0.978
92,1.7E+14,23.85036023,90.40839636,3,8,11,17,2017-11,7:00,7:00 AM,1.051
93,1.7E+14,23.86791627,90.40022239,2,7,11,17,2017-11,4:50,4:50 AM,1.182
94,1.7E+14,23.7944401,90.40092507,4,28,12,17,2017-12,5:00,5:00 AM,0.978
95,1.7E+14,23.71091504,90.4313876,7,5,3,17,2017-03,22:15,10:15 PM,1.273
96,1.7E+14,23.73363842,90.40382249,4,9,3,17,2017-03,13:30,1:30 PM,1.514
97,1.7E+14,23.72495016,90.41059589,7,12,3,17,2017-03,20:45,8:45 PM,1.256
98,1.7E+14,23.7337415,90.40382183,5,12,5,17,2017-05,16:40,4:40 PM,1.514
99,1.7E+14,23.73472812,90.41068781,2,16,5,17,2017-05,16:40,4:40 PM,1.514
100,1.7E+14,23.72439807,90.39663504,3,7,6,17,2017-06,10:30,10:30 AM,1.256
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
