Serial,Accident ID,Lat,Long,Day of week,Date in month,Month,Year,Date,Time,Time(12h),Network Density
82,1.7E+14,23.89259676,90.38426093,4,19,1,17,2017-01,19:30,7:30 PM,0.114642545
83,1.7E+14,23.89477464,90.37627977,6,11,3,17,2017-03,11:30,11:30 AM,0.078133068
84,1.7E+14,23.89260492,90.384284,4,30,3,17,2017-03,11:35,11:35 AM,0.114642545
85,1.7E+14,23.89485917,90.37639249,3,19,7,17,2017-07,8:00,8:00 AM,0.082225764
86,1.7E+14,23.89128315,90.38858453,3,13,12,17,2017-12,10:40,10:40 AM,0.11957042
87,1.7E+14,23.87371197,90.40042411,6,14,1,17,2017-01,11:25,11:25 AM,0.142010202
88,1.7E+14,23.85526686,90.40443373,3,8,2,17,2017-02,3:30,3:30 AM,0.151895206
89,1.7E+14,23.85526686,90.40443373,6,25,2,17,2017-02,0:30,12:30 AM,0.151895206
90,1.7E+14,23.88044738,90.40115125,6,25,3,17,2017-03,3:05,3:05 AM,0.139228805
91,1.7E+14,23.79401254,90.40438553,2,1,8,17,2017-08,19:30,7:30 PM,0.181130126
92,1.7E+14,23.85036023,90.40839636,3,8,11,17,2017-11,7:00,7:00 AM,0.126237861
93,1.7E+14,23.86791627,90.40022239,2,7,11,17,2017-11,4:50,4:50 AM,0.160821858
94,1.7E+14,23.7944401,90.40092507,4,28,12,17,2017-12,5:00,5:00 AM,0.17756806
95,1.7E+14,23.71091504,90.4313876,7,5,3,17,2017-03,22:15,10:15 PM,0.188686018
96,1.7E+14,23.73363842,90.40382249,4,9,3,17,2017-03,13:30,1:30 PM,0.112831769
97,1.7E+14,23.72495016,90.41059589,7,12,3,17,2017-03,20:45,8:45 PM,0.125423476
98,1.7E+14,23.7337415,90.40382183,5,12,5,17,2017-05,16:40,4:40 PM,0.112936236
99,1.7E+14,23.73472812,90.41068781,2,16,5,17,2017-05,16:40,4:40 PM,0.09792027
100,1.7E+14,23.72439807,90.39663504,3,7,6,17,2017-06,10:30,10:30 AM,0.097461853
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
